Date,Open,High,Low,Close,Volume,Market Cap
"Jan 03, 2016",433.58,433.74,424.71,430.01,39633800,6467429942
"Jan 04, 2016",430.06,434.52,429.08,433.09,38477500,6515713340
"Jan 05, 2016",433.07,434.18,429.68,431.96,34522600,6500393256
"Jan 06, 2016",431.86,431.86,426.34,429.11,34042500,6458942098
"Jan 07, 2016",430.01,458.77,429.08,458.05,87562200,6896279078
"Jan 08, 2016",457.54,462.93,447.94,453.23,56993000,6825700454
"Jan 09, 2016",453.38,454.64,446.89,447.61,32278000,6742767343
"Jan 10, 2016",448.24,448.31,440.35,447.99,35995900,6750440386
"Jan 11, 2016",448.7,450.66,443.86,448.43,40450000,6758931030
"Jan 12, 2016",448.18,448.18,435.69,435.69,115607000,6568800100
"Jan 13, 2016",434.67,435.19,424.44,432.37,173888000,6520360056
"Jan 14, 2016",432.29,433.32,427.85,430.31,43945500,6490638885
"Jan 15, 2016",430.26,430.26,364.33,364.33,153351008,5496598039
"Jan 16, 2016",365.07,390.56,354.91,387.54,120352000,5848063566
"Jan 17, 2016",387.15,390.96,380.09,382.3,45319600,5770478451
"Jan 18, 2016",381.73,388.1,376.67,387.17,54403900,5845656048
"Jan 19, 2016",387.03,387.73,378.97,380.15,46819800,5740934168
"Jan 20, 2016",379.74,425.27,376.6,420.23,121720000,6347836794
"Jan 21, 2016",419.63,422.88,406.3,410.26,68338000,6198658815
"Jan 22, 2016",409.75,410.41,375.28,382.49,91546600,5780764155
"Jan 23, 2016",382.43,394.54,381.98,387.49,56247400,5858059876
"Jan 24, 2016",388.1,405.48,387.51,402.97,54824800,6093787908
"Jan 25, 2016",402.32,402.32,388.55,391.73,59062400,5925345408
"Jan 26, 2016",392,397.77,390.58,392.15,58147000,5933372928
"Jan 27, 2016",392.44,396.84,391.78,394.97,47424400,5977545745
"Jan 28, 2016",395.15,395.5,379.73,380.29,59247900,5756710303
"Jan 29, 2016",380.11,384.38,365.45,379.47,86125296,5745985821
"Jan 30, 2016",378.86,380.92,376.49,378.26,30284400,5729296096
"Jan 31, 2016",378.29,380.35,367.83,368.77,37894300,5587253351
"Feb 01, 2016",369.35,378.07,367.96,373.06,51656700,5653747618
"Feb 02, 2016",372.92,375.88,372.92,374.45,40378700,5676528707
"Feb 03, 2016",374.65,374.95,368.05,369.95,45933400,5609971377
"Feb 04, 2016",370.17,391.61,369.99,389.59,69285504,5909517630
"Feb 05, 2016",388.9,391.09,385.57,386.55,43825000,5865136968
"Feb 06, 2016",386.59,386.63,372.39,376.52,49249300,5714879155
"Feb 07, 2016",376.51,380.87,374.9,376.62,37076300,5718023735
"Feb 08, 2016",376.76,379.88,373.33,373.45,47671100,5671240831
"Feb 09, 2016",373.42,377.25,372.9,376.03,55318500,5712106127
"Feb 10, 2016",376.15,385.48,375.78,381.65,85130896,5799042060
"Feb 11, 2016",382.11,383.13,376.4,379.65,74375600,5770550973
"Feb 12, 2016",379.69,384.95,379.6,384.26,67042800,5842238586
"Feb 13, 2016",384.64,391.86,384.64,391.86,61911700,5959279526
"Feb 14, 2016",392.93,407.23,392.93,407.23,74469800,6194711495
"Feb 15, 2016",407.57,410.38,397.75,400.18,74070496,6089064891
"Feb 16, 2016",401.43,408.95,401.43,407.49,73093104,6201590434
"Feb 17, 2016",407.66,421.17,406.78,416.32,83193600,6337628174
"Feb 18, 2016",416.57,426,415.64,422.37,76752600,6431547586
"Feb 19, 2016",422.73,423.1,417.6,420.79,55711300,6408881658
"Feb 20, 2016",421.6,441.98,421.6,437.16,93992096,6659985887
"Feb 21, 2016",437.77,448.05,429.08,438.8,89820704,6686294225
"Feb 22, 2016",438.99,439.05,432.92,437.75,85385200,6671673493
"Feb 23, 2016",438.26,439.86,417.82,420.74,85244896,6413836323
"Feb 24, 2016",420.96,425.55,413.91,424.95,67743696,6479395124
"Feb 25, 2016",425.04,427.72,420.42,424.54,70798000,6474784226
"Feb 26, 2016",424.63,432.15,421.62,432.15,61486000,6592327507
"Feb 27, 2016",432.84,434.23,428.1,432.52,41893600,6599515471
"Feb 28, 2016",432.57,435.68,423.82,433.5,53033400,6615986322
"Feb 29, 2016",433.44,441.51,431.69,437.7,60694700,6681444705
"Mar 01, 2016",437.92,439.65,432.32,435.12,74895800,6643686404
"Mar 02, 2016",435.13,435.92,423.99,423.99,74955296,6475329604
"Mar 03, 2016",423.91,425.37,419.41,421.65,100484000,6441066887
"Mar 04, 2016",421.84,425.18,410.94,410.94,90856096,6279024638
"Mar 05, 2016",410.78,411.26,394.04,400.57,135384992,6122091567
"Mar 06, 2016",400.52,411.91,395.78,407.71,91212496,6232667872
"Mar 07, 2016",407.76,415.92,406.31,414.32,85762400,6335164892
